Name,Crossing Number,Genus-3D,Bridge Index,Braid Index,Alexander
9_27,9,3,2,4,1-5*t+ 11*t^2-15*t^3+ 11*t^4-5*t^5+ t^6
9_28,9,3,3,4,1-5*t+ 12*t^2-15*t^3+ 12*t^4-5*t^5+ t^6
9_29,9,3,3,4,1-5*t+ 12*t^2-15*t^3+ 12*t^4-5*t^5+ t^6
9_30,9,3,3,4,1-5*t+ 12*t^2-17*t^3+ 12*t^4-5*t^5+ t^6
9_31,9,3,2,4,1-5*t+ 13*t^2-17*t^3+ 13*t^4-5*t^5+ t^6
9_32,9,3,3,4,1-6*t+ 14*t^2-17*t^3+ 14*t^4-6*t^5+ t^6
9_33,9,3,3,4,1-6*t+ 14*t^2-19*t^3+ 14*t^4-6*t^5+ t^6
9_34,9,3,3,4,1-6*t+ 16*t^2-23*t^3+ 16*t^4-6*t^5+ t^6
9_35,9,1,3,5,7-13*t+ 7*t^2
9_36,9,3,3,4,1-5*t+ 8*t^2-9*t^3+ 8*t^4-5*t^5+ t^6
9_37,9,2,3,5,2-11*t+ 19*t^2-11*t^3+ 2*t^4
9_38,9,2,3,4,5-14*t+ 19*t^2-14*t^3+ 5*t^4
9_39,9,2,3,5,3-14*t+ 21*t^2-14*t^3+ 3*t^4
9_40,9,3,3,4,1-7*t+ 18*t^2-23*t^3+ 18*t^4-7*t^5+ t^6
9_41,9,2,3,5,3-12*t+ 19*t^2-12*t^3+ 3*t^4
9_42,9,2,3,4,1-2*t+ t^2-2*t^3+ t^4
9_43,9,3,3,4,1-3*t+ 2*t^2-t^3+ 2*t^4-3*t^5+ t^6
9_44,9,2,3,4,1-4*t+ 7*t^2-4*t^3+ t^4
9_45,9,2,3,4,1-6*t+ 9*t^2-6*t^3+ t^4
9_46,9,1,3,4,2-5*t+ 2*t^2
9_47,9,3,3,4,1-4*t+ 6*t^2-5*t^3+ 6*t^4-4*t^5+ t^6
9_48,9,2,3,4,1-7*t+ 11*t^2-7*t^3+ t^4
9_49,9,2,3,4,3-6*t+ 7*t^2-6*t^3+ 3*t^4
10_1,10,1,2,6,4-9*t+ 4*t^2
10_2,10,4,2,3,1-3*t+ 3*t^2-3*t^3+ 3*t^4-3*t^5+ 3*t^6-3*t^7+ t^8
10_3,10,1,2,6,6-13*t+ 6*t^2
10_4,10,2,2,5,3-7*t+ 7*t^2-7*t^3+ 3*t^4
10_5,10,4,2,3,1-3*t+ 5*t^2-5*t^3+ 5*t^4-5*t^5+ 5*t^6-3*t^7+ t^8
10_6,10,3,2,4,2-6*t+ 7*t^2-7*t^3+ 7*t^4-6*t^5+ 2*t^6
10_7,10,2,2,5,3-11*t+ 15*t^2-11*t^3+ 3*t^4
10_8,10,3,2,4,2-5*t+ 5*t^2-5*t^3+ 5*t^4-5*t^5+ 2*t^6
10_9,10,4,2,3,1-3*t+ 5*t^2-7*t^3+ 7*t^4-7*t^5+ 5*t^6-3*t^7+ t^8
10_10,10,2,2,5,3-11*t+ 17*t^2-11*t^3+ 3*t^4
10_11,10,2,2,5,4-11*t+ 13*t^2-11*t^3+ 4*t^4
10_12,10,3,2,4,2-6*t+ 10*t^2-11*t^3+ 10*t^4-6*t^5+ 2*t^6
10_13,10,2,2,6,2-13*t+ 23*t^2-13*t^3+ 2*t^4
10_14,10,3,2,4,2-8*t+ 12*t^2-13*t^3+ 12*t^4-8*t^5+ 2*t^6
10_15,10,3,2,4,2-6*t+ 9*t^2-9*t^3+ 9*t^4-6*t^5+ 2*t^6
